"Index","Name","Category","Definition Link"
,"Italy driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-italy-drivers-license-number"
,"Italy fiscal code","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-italy-fiscal-code"
,"Italy passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-italy-passport-number"
,"Italy physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-italy-physical-addresses"
,"Italy value added tax number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-italy-value-added-tax-number"
,"Japan bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-japan-bank-account-number"
,"Japan driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-drivers-license-number"
,"Japanese My Number Corporate","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-my-number-corporate"
,"Japanese My Number Personal","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-my-number-personal"
,"Japan passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-passport-number"
,"Japan physical addresses","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-physical-addresses"
,"Japanese Residence Card Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-residence-card-number"
,"Japan resident registration number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-resident-registration-number"
,"Japan social insurance number (SIN)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-japan-social-insurance-number"
,"Lab test terms","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-lab-test-terms"
,"Latvia driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-latvia-drivers-license-number"
,"Latvia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-latvia-passport-number"
,"Latvia personal code","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-latvia-personal-code"
,"Latvia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-latvia-physical-addresses"
,"Liechtenstein physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-liechtenstein-physical-addresses"
,"Lifestyles that relate to medical conditions","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-lifestyles-relate-to-medical-conditions"
,"Lithuania driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-lithuania-drivers-license-number"
,"Lithuania passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-lithuania-passport-number"
,"Lithuania personal code","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-lithuania-personal-code"
,"Lithuania physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-lithuania-physical-addresses"
,"Luxembourg Driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-luxemburg-drivers-license-number"
,"Luxembourg National Identification Number (Natural persons)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-luxemburg-national-identification-number-natural-persons"
,"Luxembourg National Identification Number (Non-natural persons)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-luxemburg-national-identification-number-non-natural-persons"
,"Luxembourg Passport Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-luxemburg-passport-number"
,"Luxembourg Physical Addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-luxemburg-physical-addresses"
,"Malaysia Identity Card Number","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-malaysia-identification-card-number"
,"Malaysia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-malaysia-passport-number"
,"Malta driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-malta-drivers-license-number"
,"Malta identity card number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-malta-identity-card-number"
,"Malta passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-malta-passport-number"
,"Malta physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-malta-physical-addresses"
,"Malta Tax ID Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-malta-tax-identification-number"
,"Medical Specialties","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-medical-specialities"
,"Medicare Beneficiary Identifier (MBI) card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-medicare-beneficiary-identifier-card"
,"Mexico Unique Population Registry Code (CURP)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-mexico-unique-population-registry-code"
,"Microsoft Bing maps key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-microsoft-bing-maps-key"
,"Microsoft Entra client access token","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-ad-client-access-token"
,"Microsoft Entra client secret","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-ad-client-secret"
,"Microsoft Entra user Credentials","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-ad-user-credentials"
,"Netherlands citizen's service (BSN) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-citizens-service-number"
,"Netherlands driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-drivers-license-number"
,"Netherlands passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-passport-number"
,"Netherlands physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-physical-addresses"
,"Netherlands tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-tax-identification-number"
,"Netherlands value added tax number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-netherlands-value-added-tax-number"
,"New Zealand bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-bank-account-number"
,"New Zealand Driver License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-drivers-license-number"
,"New Zealand inland revenue number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-inland-revenue-number"
,"New Zealand ministry of health number","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-ministry-of-health-number"
,"New Zealand physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-physical-addresses"
,"New Zealand social welfare number","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-new-zealand-social-welfare-number"
,"Norway Identity Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-norway-identification-number"
,"Norway physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-norway-physical-addresses"
